run_n,location,year,time_n,price_grain,cost_n_fert,cost_n_social,price_ratio,f_stat,t_stat,level,wald_l,wald_u,pl_l,pl_u,opt_method_l,opt_method_u,boot_l,boot_u
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.0,0.0,0.0,162.33960717944322,162.33960717944322,162.33960717944322,162.33960717944322,N/A,N/A,162.33960717944322,162.33960717944322
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.016069772300486285,0.12676660532026335,0.09999999999999998,158.24535719655668,166.43385716232976,159.43233046385885,165.32294536042093,Nelder-Mead,Nelder-Mead,159.59855477120652,164.9258325126793
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.06537412098756762,0.2556836339671376,0.19999999999999996,154.0816538221722,170.59756053671424,156.5575272178344,168.433047133332,Nelder-Mead,Nelder-Mead,157.00900048224878,167.58971791223598
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.15144632851131723,0.3891610563743177,0.30000000000000004,149.77066093074245,174.908553428144,153.67053341161505,171.7306215397357,Nelder-Mead,Nelder-Mead,154.5218496823145,170.65566981436638
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.28112730541723063,0.5302143944705564,0.4,145.2149845708084,179.46422978807803,150.7214976063278,175.2979460635099,Nelder-Mead,Nelder-Mead,151.81830711504833,173.80021464778147
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.46654891580609525,0.6830438592467808,0.5,140.2789682440811,184.40024611480533,147.64748671831407,179.25521941656214,Nelder-Mead,Nelder-Mead,148.6777590248925,177.21245799213577
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.7296439487447882,0.8541919839474874,0.6,134.75130419678237,189.92791016210407,144.35737029221076,183.79641391400847,Nelder-Mead,Nelder-Mead,145.54283776688553,181.06256104479394
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,0.969292232239698,0.9845263977588935,0.667,130.54182276301887,194.13739159586757,141.96080733502347,187.33020379327692,Nelder-Mead,Nelder-Mead,143.07237773666913,184.03917268769442
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,1.113662836019053,1.0553022462779513,0.7,128.25593669818463,196.4232776607018,140.69878544962882,189.27593772532893,Nelder-Mead,Nelder-Mead,141.84658881293763,185.8605152746808
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,1.719858211274649,1.311433643950529,0.8,119.98352167304213,204.6956926858443,136.36180637177787,196.47290975217385,Nelder-Mead,Nelder-Mead,137.695988896373,191.706452044619
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,2.887032652296563,1.6991270265334972,0.9,107.46197768284577,217.21723667604067,130.45746894836023,207.82734213347297,Nelder-Mead,Nelder-Mead,131.61188812778045,200.98049472005823
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,4.18296428905827,2.045229642132703,0.95,96.28371330940101,228.39550104948543,125.80434930489727,218.4421692010424,Nelder-Mead,Nelder-Mead,125.97416173347146,209.78665970401593
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.605,7.597663249954025,2.756385903670335,0.99,73.31511283079628,251.36410152809015,77.08201691990811,241.79370525984547,Nelder-Mead,Nelder-Mead,117.1552435780074,225.14649447207216
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.0,0.0,0.0,146.48013859988185,146.48013859988185,146.48013859988185,146.48013859988185,N/A,N/A,146.48013859988185,146.48013859988185
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.016069772300486285,0.12676660532026335,0.09999999999999998,143.7823796167497,149.17789758301402,144.1620274051781,148.84663720499677,Nelder-Mead,Nelder-Mead,144.2768599540518,148.4298586502932
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.06537412098756762,0.2556836339671376,0.19999999999999996,141.03885681567633,151.92142038408738,141.85770512985664,151.29992669006805,Nelder-Mead,Nelder-Mead,142.16957822041002,150.70789027227943
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.15144632851131723,0.3891610563743177,0.30000000000000004,138.19828287718073,154.76199432258298,139.53161446455948,153.88588833884876,Nelder-Mead,Nelder-Mead,140.04701402836488,152.97053858553488
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.28112730541723063,0.5302143944705564,0.4,135.1964835548076,157.7637936449561,137.14293665219031,156.66547817598004,Nelder-Mead,Nelder-Mead,137.81006035578235,155.56038117649553
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.46654891580609525,0.6830438592467808,0.5,131.94407287104974,161.01620432871397,134.639151452527,159.72689132349203,Nelder-Mead,Nelder-Mead,135.5695274515717,158.21195285617404
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.7296439487447882,0.8541919839474874,0.6,128.30181717057505,164.65846002918866,131.94325251452568,163.21097126655795,Nelder-Mead,Nelder-Mead,133.09657189336056,161.3101370604913
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.969292232239698,0.9845263977588935,0.667,125.52813056137167,167.43214663839206,129.9684773858339,165.9002406770968,Nelder-Mead,Nelder-Mead,131.44272645990569,163.6830386224049
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,1.113662836019053,1.0553022462779513,0.7,124.02192803548792,168.9383491642758,128.9248670403281,167.3726220844132,Nelder-Mead,Nelder-Mead,130.26514019321985,164.95037931405687
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,1.719858211274649,1.311433643950529,0.8,118.57111725462256,174.38915994514113,125.31667197361442,172.76593700612278,Nelder-Mead,Nelder-Mead,126.56446636175151,169.65413761480673
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,2.887032652296563,1.6991270265334972,0.9,110.32049554773275,182.63978165203096,120.34582176096112,181.09918091132178,Nelder-Mead,Nelder-Mead,121.5962257720723,176.170227901974
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,4.18296428905827,2.045229642132703,0.95,102.95497970103645,190.00529749872726,116.37205721907775,188.6848909982831,Nelder-Mead,Nelder-Mead,117.01926924964606,181.91820273883457
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,7.597663249954025,2.756385903670335,0.99,87.82064532230271,205.139631877461,109.35631406268469,204.62557925349162,Nelder-Mead,Nelder-Mead,109.64117924886641,192.37267137795857
